Handling,CIVMID,ctb_ID,BadeaID,OldBadeaID,Specimens ID,Genotype,Sex,Lifestyle,Diet,Weight,DOB,Perfusion,Age_Months,Age_Imaging,Age_Years,Age_Handling,AgeExVivoMRI,Bruker_folder,ARunno,Second_Bruker_folder,Second_ARunno,SAMBA Brunno,DWI,GRE,T1,T2,Notes,Remark,Mn2Cl pump,fMRI,invivoDWI,Cardiac_ID,MicroCT_ID,Femur_Scan,Cohort_ID,NameGroup,Source,Cage#,GLP_1Start,GLP_1End,Age_End,Age_Months_current,Years,Days,Age_Months_Start,Ear_Marks,Group,Unnamed: 18,Unnamed: 19
190909_14,190909_14,,190909_9,190909_14,190909_14,APOE33,female,Sedentary,Control,28.1,4/26/2018,10/9/2019,17.47,17.0,1.46,,17.47,,A19090914,,,B51846,N57590,N57591,111,17, ,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
190909_9,190909_9,,190909_1,190909_9,190909_9,HN,male,Sedentary,Control,33.4,3/21/2018,10/11/2019,17.53,18.0,1.46,,17.53,,A19090909,,,B51892,N57559,N57560,149,26,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
191028_3,191028_3,,191028_3,191028_3,191028_3,APOE22,female,Sedentary,Control,22.3,4/26/2018,12/3/2019,15.27,15.0,1.27,,15.27,,A19102803,,,B52233,N57694,N57695,105,24,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
191028_4,191028_4,,191028_4,191028_4,191028_4,APOE22,female,Sedentary,Control,24.0,4/26/2018,12/3/2019,15.27,15.0,1.27,,15.27,,A19102804,,,B52242,N57702,N57703,106,24,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
191028_5,191028_5,,191028_5,191028_5,191028_5,APOE22,female,Sedentary,Control,22.5,4/26/2018,12/3/2019,15.27,15.0,1.27,,15.27,,A19102805,,,B52253,N57709,N57710,106,24,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
191028_6,191028_6,,191028_6,191028_6,191028_6,APOE22,male,Sedentary,Control,30.3,4/26/2018,12/3/2019,15.27,15.0,1.27,,15.27,,A19102806,,,B52264,N57700,N57701,120,26,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
191028_7,191028_7,,191028_7,191028_7,191028_7,APOE22,male,Sedentary,Control,28.0,4/26/2018,12/3/2019,15.27,15.0,1.27,,15.27,,A19102807,,,B52274,N57692,N57693,108,24,,,,,,,,,,original_2019_scans,In House,,,,,,,,,,,,
200302_10,200302_10,,200302_10,8,200302_10,APOE22,male,Sedentary,Control,33.2,10/1/2018,4/23/2020,18.73,19.0,1.56,,18.73,,A20030210,,,B54006,N58344_m00-m48,N58348,104,25,,,,,,,,,,7,In House,,,,,,,,,,,,
200302_11,200302_11,,200302_11,9,200302_11,APOE22,male,Sedentary,Control,34.8,10/1/2018,4/23/2020,18.73,19.0,1.56,,18.73,,A20030211,,,B54014,N58346_m00-m48,N58349,116,25,,,,,,,,,,8,In House,,,,,,,,,,,,
200302_12,200302_12,,200302_12,10,200302_12,APOE22,male,Sedentary,Control,36.5,10/1/2018,4/23/2020,18.73,19.0,1.56,,18.73,,A20030212,,,B54025,N58350_m00-m48,N58356,111,25,,,,,,,,,,9,In House,,,,,,,,,,,,
200302_3,200302_3,,200302_3,1,200302_3,APOE22,male,Sedentary,Control,31.0,10/22/2018,5/7/2020,18.5,19.0,1.54,,18.5,,A20030203,,,B54236,N58394_m00-m48,N58395,112,28,,,,,,,,,,1,In House,,,,,,,,,,,,
200302_4,200302_4,,200302_4,2,200302_4,APOE22,male,Sedentary,Control,30.8,10/22/2018,5/7/2020,18.5,19.0,1.54,,18.5,,A20030204,,,B54242,N58396_m00-m48,N58397,111,28,,,,,,,,,,2,In House,,,,,,,,,,,,
200302_5,200302_5,,200302_5,3,200302_5,APOE22,male,Sedentary,Control,31.5,10/22/2018,5/7/2020,18.5,19.0,1.54,,18.5,,A20030205,,,B54254,N58398_m00-m48,N58399,112,27,,,,,,,,,,3,In House,,,,,,,,,,,,
200302_6,200302_6,,200302_6,4,200302_6,APOE22,female,Sedentary,Control,27.6,10/22/2018,5/7/2020,18.5,19.0,1.54,,18.5,,A20030206,,,B54366,N58359_m00-m48,N58360,112,26,,,,,,,,,,4,In House,,,,,,,,,,,,
200302_7,200302_7,,200302_7,5,200302_7,APOE22,female,Sedentary,Control,27.3,10/22/2018,5/7/2020,18.5,19.0,1.54,,18.5,,A20030207,,,B54374,N58361_m00-m48,N58362,109,26,,,,,,,,,,5,In House,,,,,,,,,,,,
200302_8,200302_8,,200302_8,6,200302_8,APOE22,female,Sedentary,Control,27.5,10/22/2018,5/7/2020,18.5,19.0,1.54,,18.5,,A20030208,,,B54385,N58404_m00-m48,N58405,107,27,18.5,,,,,,,,,6,In House,,,,,,,,,,,,
200302_9,200302_9,,200302_9,7,200302_9,APOE22,female,Sedentary,Control,28.0,10/22/2018,5/7/2020,18.5,19.0,1.54,,18.5,,A20030209,,,B54396,N58402_m00-m48,N58403,105,27,18.5,,,,,,,,,7,In House,,,,,,,,,,,,
200331_1,200331_1,,200331_1,11,200331_1,APOE22,female,Sedentary,Control,25.8,11/23/2018,5/7/2020,17.47,17.0,1.46,,17.47,,A20033101,,,B54416,N58516_m00-m48,N58517,97,24,17.47,,,,,,,,,1,In House,,,,,,,,,,,,
200331_10,200331_10,,200331_10,20,200331_10,APOE22,female,Sedentary,Control,25.7,11/23/2018,5/28/2020,18.17,18.0,1.51,,18.17,,A20033110,,,B54509,N58510_m00-m48,N58511,94,25,18.17,,,,,,,,,9,In House,,,,,,,,,,,,
200331_11,200331_11,,200331_11,21,200331_11,APOE22,male,Sedentary,Control,28.6,11/23/2018,5/28/2020,18.17,18.0,1.51,,18.17,,A20033111,,,B54419,N58406_m00-m48,N58407,104,27,18.17,,,,,,,,,10,In House,,,,,,,,,,,,
200331_12,200331_12,,200331_12,22,200331_12,APOE22,male,Sedentary,Control,30.9,11/23/2018,5/28/2020,18.17,18.0,1.51,,18.17,,A20033112,,,B54526,N58408_m00-m48,N58409,117,27,18.17,,,,,,,,,11,In House,,,,,,,,,,,,
200331_13,200331_13,,200331_13,23,200331_13,APOE22,male,Sedentary,Control,26.6,11/23/2018,5/28/2020,18.17,18.0,1.51,,18.17,,A20033113,,,B54532,N58514_m00-m48,N58515,95,27,18.17,,,,,,,,,12,In House,,,,,,,,,,,,
200331_14,200331_14,,200331_14,24,200331_14,APOE44,male,Sedentary,Control,32.2,9/11/2018,4/23/2020,19.4,19.0,1.62,,19.4,,A20033114,,,B54046,N58302_m00-m48,N58301,115,26,,,,,,,,,,1,In House,,,,,,,,,,,,
200331_15,200331_15,,200331_15,25,200331_15,APOE44,male,Sedentary,Control,34.1,9/11/2018,4/23/2020,19.4,19.0,1.62,,19.4,,A20033115,,,B54058,N58305_m00-m48,N58306,126,25,,,,,,,,,,2,In House,,,,,,,,,,,,
200331_16,200331_16,,200331_16,26,200331_16,APOE44,male,Sedentary,Control,33.4,11/5/2018,4/23/2020,17.6,18.0,1.47,,17.6,,A20033116,,,B54166,N58303_m00-m48,N58304,119,26,,,,,,,,,,3,In House,,,,,,,,,,,,
200331_17,200331_17,,200331_17,27,200331_17,APOE44,female,Sedentary,Control,25.7,9/11/2018,4/23/2020,19.4,19.0,1.62,,19.4,,A20033117,,,B54173,N58309_m00-m48,N58308,110,24,,,,,,,,,,4,In House,,,,,,,,,,,,
200331_18,200331_18,,200331_18,28,200331_18,APOE44,male,Sedentary,Control,32.2,9/11/2018,4/23/2020,19.4,19.0,1.62,,19.4,,A20033118,,,B54184,N58310_m00-m48,N58311,110,26,,,,,,,,,,5,In House,,,,,,,,,,,,
200331_2,200331_2,,200331_2,12,200331_2,APOE22,female,Sedentary,Control,25.6,11/23/2018,5/28/2020,18.17,18.0,1.51,,18.17,,A20033102,,,B54424,N58608_m00-m48,N58612,88,25,18.17,,,,,,,,,2,In House,,,,,,,,,,,,
200331_20,200331_20,,200331_20,30,200331_20,APOE44,male,Sedentary,Control,31.9,9/11/2018,4/23/2020,19.4,19.0,1.62,,19.4,,A20033120,,,B54107,N58355_m00-m48,N58358,109,27,,,,,,,,,,6,In House,,,,,,,,,,,,
200331_3,200331_3,,200331_3,13,200331_3,APOE22,female,Sedentary,Control,26.9,11/23/2018,5/28/2020,18.17,18.0,1.51,,18.17,,A20033103,,,B54435,,,,,18.17,,,,,,,,,3,In House,,,,,,,,,,,,
200331_4,200331_4,,200331_4,14,200331_4,APOE22,female,Sedentary,Control,27.0,11/23/2018,5/28/2020,18.17,18.0,1.51,,18.17,,A20033104,,,B54446,N58606_m00-m48,N58607,88,25,18.17,,,,,,,,,4,In House,,,,,,,,,,,,
200331_5,200331_5,,200331_5,15,200331_5,APOE22,female,Sedentary,Control,25.9,11/23/2018,5/28/2020,18.17,18.0,1.51,,18.17,,A20033105,,,B54458,N58604_m00-m48,N58605,96,25,18.17,,,,,,,,,5,In House,,,,,,,,,,,,
200331_7,200331_7,,200331_7,17,200331_7,APOE22,female,Sedentary,Control,29.3,11/23/2018,5/28/2020,18.17,18.0,1.51,,18.17,,A20033107,,,B54575,N58512_m00-m48,N58513,93,26,18.17,,,,,,,,,6,In House,,,,,,,,,,,,
200331_8,200331_8,,200331_8,18,200331_8,APOE22,female,Sedentary,Control,26.6,11/23/2018,5/28/2020,18.17,18.0,1.51,,18.17,,A20033108,,,B54587,N58477_m00-m48,N58478,95,24,18.17,,,,,,,,,7,In House,,,,,,,,,,,,
200331_9,200331_9,,200331_9,19,200331_9,APOE22,female,Sedentary,Control,27.9,11/23/2018,5/28/2020,18.17,18.0,1.51,,18.17,,A20033109,,,B54598,N58500_m00-m48,N58501,100,25,18.17,,,,,,,,,8,In House,,,,,,,,,,,,
201015_1           ,201015_1           ,,201015_1,201015_1           ,201015_1,APOE33HN,male,Sedentary,Control,32.0,12/11/2019,10/14/2020,10.1,10.0,0.84,,10.1,,,,,,N58655_m00-m48,N58667,99,24,10.1,,,,,,,,,1,In House,,,,,,,,,,,,
210113_1           ,210113_1           ,,201026_1,201026_1,210113_1,APOE44HN,female,Sedentary,Control,28.4,4/28/2019,1/14/2021,20.53,21.0,1.71,18.2,20.53,,,,,,N58706_m00-m48,N58707,105,27,20.53,,,,,210113_1,,,,1,In House,,,,,,,,,,,,
210113_2           ,210113_2           ,,201026_2,201026_2,210113_2,APOE44HN,female,Sedentary,Control,31.0,8/11/2019,1/14/2021,17.1,17.0,1.43,14.7,17.1,,,,,,N58708_m00-m48,N58709,107,26,17.1,,,,,210113_2,,,,2,In House,,,,,,,,,,,,
210113_3           ,210113_3           ,,201026_3,201026_3,210113_3,APOE44HN,male,Sedentary,Control,31.8,11/29/2019,1/14/2021,13.5,14.0,1.13,11.03,13.5,,,,,,N58712_m00-m48,N58713,116,27,13.5,,,,,210113_3,,,,3,In House,,,,,,,,,,,,
210113_4           ,210113_4           ,,201026_4,201026_4,210113_4,APOE44HN,male,Sedentary,Control,28.0,4/28/2019,1/14/2021,20.53,21.0,1.71,18.2,20.53,,,,,,N58714_m00-m48,N58715,111,27,20.53,,,,,210113_4,,,,4,In House,,,,,,,,,,,,
210118_1           ,210118_1           ,,201012_1,201012_1,210118_1,APOE44HN,male,Sedentary,HFD,36.4,1/14/2020,3/1/2021,13.57,14.0,1.13,11.87,13.57,,,,,,N58732_m00-m48,N58736,102,26,13.57,,,,,210118_1,,,,1,In House,,,,,,,,,,,,
210118_10           ,210118_10           ,,201012_10,201012_10,210118_10,APOE44HN,female,Sedentary,HFD,34.5,12/24/2019,3/1/2021,14.23,14.0,1.19,12.53,14.23,,,,,,N58740_m00-m48,N58741,102,26,14.23,,,,,210118_10,,,,5,In House,,,,,,,,,,,,
210118_11           ,210118_11           ,,201012_11,201012_11,210118_11,APOE33HN,female,Sedentary,HFD,44.1,11/19/2019,3/1/2021,15.4,15.0,1.28,13.7,15.4,,,,,,N58742_m00-m48,N58743,106,26,15.4,,,,,210118_11,,,,6,In House,,,,,,,,,,,,
210118_12           ,210118_12           ,,201012_12,201012_12,210118_12,APOE33HN,female,Sedentary,HFD,36.6,12/8/2019,3/1/2021,14.77,15.0,1.23,13.07,14.77,,,,,,N58745_m00-m48,N59113,106,26,14.77,,,,,210118_12,,,,7,In House,,,,,,,,,,,,
210118_13           ,210118_13           ,,201012_13,201012_13,210118_13,APOE33HN,male,Sedentary,HFD,31.4,2/19/2020,3/1/2021,12.4,12.0,1.03,11.03,12.4,,,,,,N58747_m00-m48,N58748,106,26,12.4,,,,,210118_13,,,,8,In House,,,,,,,,,,,,
210118_15           ,210118_15           ,,201012_15,201012_15,210118_15,APOE33,female,Sedentary,HFD,42.5,12/31/2019,3/1/2021,14.03,14.0,1.17,12.33,14.03,,,,,,N58749_m00-m48,N58750,106,26,14.03,,,,,,,,,9,In House,,,,,,,,,,,,
210118_16           ,210118_16           ,,201012_16,201012_16,210118_16,APOE33,female,Sedentary,HFD,41.2,12/31/2019,3/1/2021,14.03,14.0,1.17,12.33,14.03,,,,,,N58751_m00-m48,N58752,107,26,14.03,,,,,,,,,10,In House,,,,,,,,,,,,
210118_17           ,210118_17           ,,201012_17,201012_17,210118_17,APOE33,female,Sedentary,HFD,41.3,12/31/2019,3/14/2021,14.47,14.0,1.21,12.33,14.47,,,,,,N58792_m00-m48,N58793,106,27,,,,,,210118_18??,,,,16,In House,,,,,,,,,,,,
210118_18           ,210118_18           ,,201012_18,201012_18,210118_18,APOE33,female,Sedentary,HFD,44.3,12/31/2019,3/14/2021,14.47,14.0,1.21,12.33,14.47,,,,,,N58794_m00-m48,N58795,109,27,,,,,,210118_18,,,,17,In House,,,,,,,,,,,,
210118_19           ,210118_19           ,,201012_19,201012_19,210118_19,APOE33,female,Sedentary,HFD,40.3,1/1/2020,3/14/2021,14.43,14.0,1.2,12.3,14.43,,,,,,N58829_m00-m48,N58830,104,24,d,,,,,,,,,18,In House,,,,,,,,,,,,
210118_2           ,210118_2           ,,201012_2,201012_2,210118_2,APOE44HN,male,Sedentary,HFD,35.4,1/14/2020,3/1/2021,13.57,14.0,1.13,11.87,13.57,,,,,,N58733_m00-m48,N58737,109,26,13.57,,,,,210118_2,,,,2,In House,,,,,,,,,,,,
210118_20           ,210118_20           ,,201012_20,201012_20,210118_20,APOE33,female,Sedentary,HFD,46.9,1/1/2020,3/14/2021,14.43,14.0,1.2,12.3,14.43,,,,,,N58813_m00-m48,N58814,106,27,,,,,,210118_20,,,,19,In House,,,,,,,,,,,,
210118_21           ,210118_21           ,,201012_21,201012_21,210118_21,APOE33,female,Sedentary,HFD,33.8,1/1/2020,3/15/2021,14.47,14.0,1.21,12.3,14.47,,,,,,N58815_m00-m48,N58816,104,27,d,,,,,210118_21,,,,20,In House,,,,,,,,,,,,
210118_22           ,210118_22           ,,201012_22,201012_22,210118_22,APOE33,male,Sedentary,HFD,46.0,1/1/2020,3/15/2021,14.47,14.0,1.21,12.3,14.47,,,,,,N58821_m00-m48,N58822,105,26,d,,,,,210118_22,,,,21,In House,,,,,,,,,,,,
210118_23           ,210118_23           ,,201012_23,201012_23,210118_23,APOE33,male,Sedentary,HFD,42.0,1/1/2020,3/15/2021,14.47,14.0,1.21,12.3,14.47,,,,,,N58819_m00-m48,N58820,107,26,d,,,,,210118_23,,,,22,In House,,,,,,,,,,,,
210118_24           ,210118_24           ,,201012_24,201012_24,210118_24,APOE33,male,Sedentary,HFD,43.8,12/31/2019,3/15/2021,14.5,15.0,1.21,12.33,14.5,,,,,,N58831_m00-m48,N58832,108,27,d,,,,,210118_24,,,,23,In House,,,,,,,,,,,,
210118_25           ,210118_25           ,,201012_25,201012_25,210118_25,APOE33,male,Sedentary,HFD,43.9,12/31/2019,3/15/2021,14.5,15.0,1.21,12.33,14.5,,,,,,N58851_m00-m48,N58852,111,28,d,,,,,210118_25,,,,24,In House,,,,,,,,,,,,
210118_26           ,210118_26           ,,201012_26,201012_26,210118_26,APOE33,male,Sedentary,HFD,54.0,12/31/2019,3/15/2021,14.5,15.0,1.21,12.33,14.5,,,,,,N58853_m00-m48,N58854,100,29,d,,,,,210118_26,,,,25,In House,,,,,,,,,,,,
210118_27           ,210118_27           ,,201012_27,201012_27,210118_27,APOE33,male,Sedentary,HFD,43.1,12/31/2019,3/15/2021,14.5,15.0,1.21,12.33,14.5,,,,,,N58855_m00-m48,N58856,106,26,d,,,,,210118_27,,,,26,In House,,,,,,,,,,,,
210118_3           ,210118_3           ,,201012_3,201012_3,210118_3,APOE44HN,male,Sedentary,HFD,46.8,1/20/2020,3/1/2021,13.37,13.0,1.11,11.67,13.37,,,,,,N58734_m00-m48,N58738,113,25,13.37,,,,,210118_3,,,,3,In House,,,,,,,,,,,,
210118_4           ,210118_4           ,,201012_4,201012_4,210118_4,APOE44HN,female,Sedentary,HFD,38.8,12/24/2019,3/14/2021,14.67,15.0,1.22,11.87,14.67,,,,,,N58779_m00-m48,N58782,104,27,14.67,,,,,,,,,11,In House,,,,,,,,,,,,
210118_5           ,210118_5           ,,201012_5,201012_5,210118_5,APOE44HN,female,Sedentary,HFD,39.8,12/24/2019,3/14/2021,14.67,15.0,1.22,11.87,14.67,,,,,,N58780_m00-m48,N58781,110,28,,,,,,,,,,12,In House,,,,,,,,,,,,
210118_6           ,210118_6           ,,201012_6,201012_6,210118_6,APOE44HN,female,Sedentary,HFD,39.7,12/24/2019,3/14/2021,14.67,15.0,1.22,11.87,14.67,,,,,,N58784_m00-m48,N58785,97,27,,,,,,,,,,13,In House,,,,,,,,,,,,
210118_7           ,210118_7           ,,201012_7,201012_7,210118_7,APOE44HN,female,Sedentary,HFD,32.8,12/24/2019,3/14/2021,14.67,15.0,1.22,12.53,14.67,,,,,,N58788_m00-m48,N58789,104,26,,,,,,,,,,14,In House,,,,,,,,,,,,
210118_8           ,210118_8           ,,201012_8,201012_8,210118_8,APOE44HN,female,Sedentary,HFD,41.2,12/24/2019,3/1/2021,14.23,14.0,1.19,12.53,14.23,,,,,,N58735_m00-m48,N58739,130,28,14.23,,,,,210118_8,,,,4,In House,,,,,,,,,,,,
210118_9           ,210118_9           ,,201012_9,201012_9,210118_9,APOE44HN,female,Sedentary,HFD,31.9,12/24/2019,3/15/2021,14.7,15.0,1.23,12.53,14.7,,,,,,N58790_m00-m48,N58791,113,27,,,,,,210118_9,,,,15,In House,,,,,,,,,,,,
210201_10,210201_10,,210201_10,210201_10,210201_10,APOE44,female,Sedentary,Control,24.9,3/3/2020,6/2/2021,14.97,15.0,1.25,11.13333333,14.97,,,,,,N58883_m00-m48,N58884,107,26,d,,,,,,,,,9,In House,,,,,,,,,,,,
210201_11,210201_11,,210201_11,210201_11,210201_11,APOE44,male,Sedentary,Control,29.2,3/17/2020,5/26/2021,14.3,14.0,1.19,10.66666667,14.3,,,,,,N58887_m00-m48,N58888,104,24,D,,,,,,,,,10,In House,,,,,,,,,,,,
210201_12,210201_12,,210201_12,210201_12,210201_12,APOE44,male,Sedentary,Control,30.9,3/17/2020,5/26/2021,14.3,14.0,1.19,10.66666667,14.3,,,,,,N58885_m00-m48,N58886,107,25,D,,,,,,,,,11,In House,,,,,,,,,,,,
210201_13,210201_13,,210201_13,210201_13,210201_13,APOE44,male,Sedentary,Control,27.9,3/17/2020,5/26/2021,14.3,14.0,1.19,10.66666667,14.3,,,,,,N58919_m00-m48,N58920,109,27,,,,,,,,,,12,In House,,,,,,,,,,,,
210201_14,210201_14,,210201_14,210201_14,210201_14,APOE44,male,Sedentary,Control,30.3,3/3/2020,5/26/2021,14.77,15.0,1.23,11.13333333,14.77,,,,,,,,,,,,,,,,,,,13,In House,,,,,,,,,,,,
210201_15,210201_15,,210201_15,210201_15,210201_15,APOE44,male,Sedentary,Control,31.2,3/3/2020,5/26/2021,14.77,15.0,1.23,11.13333333,14.77,,,,,,N58879_m00-m48,N58880,93,25,D,,,,,,,,,14,In House,,,,,,,,,,,,
210201_16,210201_16,,210201_16,210201_16,210201_16,APOE44,male,Sedentary,Control,34.1,3/3/2020,5/26/2021,14.77,15.0,1.23,11.13333333,14.77,,,,,,N58881_m00-m48,N58882,102,25,D,,,,,,,,,15,In House,,,,,,,,,,,,
210201_17,210201_17,,210201_17,210201_17,210201_17,APOE44,male,Sedentary,Control,32.8,1/7/2020,6/2/2021,16.83,17.0,1.4,13.0,16.83,,,,,,N58889_m00-m48,N58890,109,27,AD,,,,,,,,,16,In House,,,,,,,,,,,,
210201_18,210201_18,,210201_18,210201_18,210201_18,APOE44,male,Sedentary,Control,30.6,1/7/2020,6/2/2021,16.83,17.0,1.4,13.0,16.83,,,,,,,,,,,,,,,,,,,17,In House,,,,,,,,,,,,
