BadeaID,Cage#,Sex,Genotype,Lifestyle,Diet,Weight,DOB,Age_Months,GLP_1Start,GLP_1End,Age_End,Age_Months_current,Years,Days,Age_Months_Start,Ear_Marks,Group,Unnamed: 18,Unnamed: 19,ARunno
250530_18,1725975,female,APOE33HN,Sedentary,HFD+GLP1,39.0,12/9/2024,15.73,10/1/2025,12/1/2025,11.73,15.73,0.569444444,205,6.833333333,LL,HFD&GLP_1,,,B26010608
250530_19,1725969,female,APOE33HN,Sedentary,HFD+GLP1,29.0,1/21/2025,14.33,10/1/2025,12/1/2025,10.33,14.33,0.45,162,5.4,L,HFD&GLP_1,,,B26010808
250530_20,1725969,female,APOE33HN,Sedentary,HFD+GLP1,26.0,1/21/2025,14.33,10/1/2025,12/1/2025,10.33,14.33,0.45,162,5.4,LR,HFD&GLP_1,,,B26010900
250530_21,1725969,female,APOE33HN,Sedentary,HFD+GLP1,24.0,1/21/2025,14.33,10/1/2025,12/1/2025,10.33,14.33,0.45,162,5.4,LL,HFD&GLP_1,,,
250530_22,1725969,female,APOE33HN,Sedentary,HFD+GLP1,30.0,4/1/2025,12.0,10/1/2025,12/1/2025,8.0,12.0,0.255555556,92,3.066666667,RR,HFD&GLP_1,,,B26010902
250530_23,1668533,male,APOE44HN,Sedentary,HFD+GLP1,49.0,9/20/2024,18.37,10/1/2025,12/1/2025,14.37,18.37,0.791666667,285,9.5,L,HFD&GLP_1,,,B25123000
250530_25,1668533,male,APOE44HN,Sedentary,HFD+GLP1,53.0,11/1/2024,17.0,10/1/2025,12/1/2025,13.0,17.0,0.675,243,8.1,LR,HFD&GLP_1,,,B25123002
250530_26,1668533,male,APOE44HN,Sedentary,HFD+GLP1,38.0,11/1/2024,17.0,10/1/2025,12/1/2025,13.0,17.0,0.675,243,8.1,LL,HFD&GLP_1,,,B25123003
250530_27,1725973,female,APOE44HN,Sedentary,HFD+GLP1,39.0,1/6/2025,14.83,10/1/2025,12/1/2025,10.83,14.83,0.491666667,177,5.9,L,HFD&GLP_1,,,B25122902
250530_27,1725973,female,APOE44HN,Sedentary,HFD+GLP1,39.0,1/6/2025,14.83,10/1/2025,12/1/2025,10.83,14.83,0.491666667,177,5.9,L,HFD&GLP_1,,,B25123006
250530_28,1725973,female,APOE44HN,Sedentary,HFD+GLP1,39.0,1/6/2025,14.83,10/1/2025,12/1/2025,10.83,14.83,0.491666667,177,5.9,R,HFD&GLP_1,,,B25122903
250530_28,1725973,female,APOE44HN,Sedentary,HFD+GLP1,39.0,1/6/2025,14.83,10/1/2025,12/1/2025,10.83,14.83,0.491666667,177,5.9,R,HFD&GLP_1,,,B25123007
250530_29,1725973,female,APOE44HN,Sedentary,HFD+GLP1,43.0,1/6/2025,14.83,10/1/2025,12/1/2025,10.83,14.83,0.491666667,177,5.9,LR,HFD&GLP_1,,,B25122904
250530_30,1725973,female,APOE44HN,Sedentary,HFD+GLP1,32.0,1/6/2025,14.83,10/1/2025,12/1/2025,10.83,14.83,0.491666667,177,5.9,LL,HFD&GLP_1,,,B25123004
250530_31,1725973,female,APOE44HN,Sedentary,HFD+GLP1,35.0,1/6/2025,14.83,10/1/2025,12/1/2025,10.83,14.83,0.491666667,177,5.9,RR,HFD&GLP_1,,,B25123005
