Animal_ID,Cage#,Sex,Genotype,DOB,Age_Months,GLP_1Start,GLP_1End,Age_End,Age_Months_current,Years,Days,Age_Months_Start,Ear_Marks,Group,GLP_1Start,HFD_Start,,AnimalWeight_100225,AnimalWeight_g_100625,AnimalWeight_g_100825,AnimalWeight_g_101025,AnimalWeight_g_101325,AnimalWeight_g_101525,AnimalWeight_g_101725,AnimalWeight_g_102025,AnimalWeight_g_102125,AnimalWeight_g_102225,AnimalWeight_g_102325,AnimalWeight_g_102425,AnimalWeight_g_102725,AnimalWeight_g_102825,AnimalWeight_g_103025,AnimalWeight_g_103125,Dose_110125,AnimalWeight_g_110125,AnimalWeight_g_110325,AnimalWeight_g_110525,AnimalWeight_g_110725,AnimalWeight_g_111025,AnimalWeight_g_111225,AnimalWeight_g_111425,AnimalWeight_g_111725,AnimalWeight_g_111925,AnimalWeight_g_112125,AnimalWeight_g_112425,AnimalWeight_g_112625,AnimalWeight_g_112825,AnimalWeight_g_120125,AnimalWeight_g_120825,AnimalWeight_g_121025,AnimalWeight_g_121225,delta_start,delta_sema1,delta_sema2
250530_12,1725974,M,APOE33HN,12/9/2024,16.13,10/1/2025,12/1/2025,11.73,16.13,0.569444444,205,6.833333333,R,HFD&GLP_1,10/1/2025,5/30/2025,,48,48,44,43,44,42,40,42,42,42,42,39,42,42,40,39,124.8,40,41,41,41,45,40,43,45,40,43,42,42,42,42,38,35,37.00,29.03225806,-27.08333333,-12.5
250530_13,1725968,M,APOE33HN,1/21/2025,14.73,10/1/2025,12/1/2025,10.33,14.73,0.45,162,5.4,L,HFD&GLP_1,10/1/2025,5/30/2025,,49,49,45,43,42,38,38,39,37,38,38,37,40,40,38,36,115.2,37,38,36,36,38,36,36,38,36,36,40,39,39,40,36,35,38.00,18.75,-28.57142857,-18.36734694
250530_14,1725968,M,APOE33HN,1/21/2025,14.73,10/1/2025,12/1/2025,10.33,14.73,0.45,162,5.4,R,HFD&GLP_1,10/1/2025,5/30/2025,,47,47,45,44,44,41,42,42,39,37,37,38,37,36,36,34,108.8,34,35,35,35,37,35,36,37,35,36,37,37,37,37,34,34,36.00,16.12903226,-27.65957447,-21.27659574
250530_15,1725975,F,APOE33HN,12/9/2024,16.13,10/1/2025,12/1/2025,11.73,16.13,0.569444444,205,6.833333333,L,HFD&GLP_1,10/1/2025,5/30/2025,,43,43,41,40,39,37,36,38,36,37,37,36,38,36,36,34,108.8,36,37,36,36,37,36,35,37,36,35,35,35,35,35,36,33,31.00,50,-23.25581395,-18.60465116
250530_16,1725975,F,APOE33HN,12/9/2024,16.13,10/1/2025,12/1/2025,11.73,16.13,0.569444444,205,6.833333333,R,HFD&GLP_1,10/1/2025,5/30/2025,,39,39,37,36,36,34,33,34,33,34,34,33,36,34,34,32,102.4,34,35,33,32,35,35,33,35,35,33,33,33,35,33,34,33,30.00,41.66666667,-15.38461538,-15.38461538
250530_17,1725975,F,APOE33HN,12/9/2024,16.13,10/1/2025,12/1/2025,11.73,16.13,0.569444444,205,6.833333333,LR,HFD&GLP_1,10/1/2025,5/30/2025,,40,40,38,38,37,35,33,34,33,33,33,33,34,32,33,31,99.2,32,33,32,34,33,31,31,33,31,31,32,33,31,31,,,,43.47826087,-100,-22.5
250530_18,1725975,F,APOE33HN,12/9/2024,16.13,10/1/2025,12/1/2025,11.73,16.13,0.569444444,205,6.833333333,LL,HFD&GLP_1,10/1/2025,5/30/2025,,47,47,45,44,43,41,40,40,41,41,41,41,42,40,40,39,124.8,39,40,39,40,41,40,39,41,40,39,39,39,40,40,41,39,37.00,48.14814815,-17.0212766,-14.89361702
250530_19,1725969,F,APOE33HN,1/21/2025,14.73,10/1/2025,12/1/2025,10.33,14.73,0.45,162,5.4,L,HFD&GLP_1,10/1/2025,5/30/2025,,31,31,31,30,28,28,27,28,28,28,28,29,36,37,35,28,89.6,29,30,29,28,29,27,28,29,27,28,27,26,27,27,33,29,31.00,40,-6.451612903,-12.90322581
250530_20,1725969,F,APOE33HN,1/21/2025,14.73,10/1/2025,12/1/2025,10.33,14.73,0.45,162,5.4,LR,HFD&GLP_1,10/1/2025,5/30/2025,,38,38,38,36,36,34,32,33,31,31,31,31,35,34,33,31,99.2,33,32,31,31,32,30,29,32,30,29,30,30,30,30,30,26,28.00,50,-31.57894737,-21.05263158
250530_21,1725969,F,APOE33HN,1/21/2025,14.73,10/1/2025,12/1/2025,10.33,14.73,0.45,162,5.4,LL,HFD&GLP_1,10/1/2025,5/30/2025,,43,43,40,39,38,36,34,35,34,34,34,33,33,32,33,34,108.8,34,35,34,34,36,32,34,36,32,34,32,32,32,31,28,24,26.00,65,-44.18604651,-27.90697674
250530_22,1725969,F,APOE33HN,4/1/2025,12.40,10/1/2025,12/1/2025,8.00,12.40,0.255555556,92,3.066666667,RR,HFD&GLP_1,10/1/2025,5/30/2025,,37,37,37,35,34,33,31,33,32,33,33,33,37,36,33,32,102.4,33,33,32,33,34,35,33,34,35,33,31,30,31,31,33,30,32.00,73.68421053,-18.91891892,-16.21621622
250530_23,1668533,M,APOE44HN,9/20/2024,18.77,10/1/2025,12/1/2025,14.37,18.77,0.791666667,285,9.5,L,HFD&GLP_1,10/1/2025,5/30/2025,,52,52,52,50,50,49,47,50,47,47,47,47,50,50,48,46,147.2,47,49,46,48,48,46,45,48,46,45,49,49,49,51,54,49,49.00,50,-5.769230769,-1.923076923
250530_25,1668533,M,APOE44HN,11/1/2024,17.40,10/1/2025,12/1/2025,13.00,17.40,0.675,243,8.1,LR,HFD&GLP_1,10/1/2025,5/30/2025,,55,55,55,53,54,52,52,54,52,52,52,51,53,54,52,50,160,51,53,51,53,54,53,54,54,53,54,56,55,56,56,57,53,51.00,36.84210526,-3.636363636,1.818181818
250530_26,1668533,M,APOE44HN,11/1/2024,17.40,10/1/2025,12/1/2025,13.00,17.40,0.675,243,8.1,LL,HFD&GLP_1,10/1/2025,5/30/2025,,45,45,45,43,43,42,41,42,40,39,39,38,39,39,40,38,121.6,39,37,37,37,39,40,37,39,40,37,40,39,38,39,42,38,39.00,33.33333333,-15.55555556,-13.33333333
250530_27,1725973,F,APOE44HN,1/6/2025,15.23,10/1/2025,12/1/2025,10.83,15.23,0.491666667,177,5.9,L,HFD&GLP_1,10/1/2025,5/30/2025,,47,47,46,44,43,41,40,42,40,41,41,40,42,42,40,39,124.8,39,42,39,39,42,39,41,42,39,41,40,40,41,42,43,39,41.00,60,-17.0212766,-10.63829787
250530_28,1725973,F,APOE44HN,1/6/2025,15.23,10/1/2025,12/1/2025,10.83,15.23,0.491666667,177,5.9,R,HFD&GLP_1,10/1/2025,5/30/2025,,48,48,48,46,46,44,43,44,42,43,43,42,45,45,44,43,137.6,44,45,44,45,45,38,38,40,38,38,42,42,43,43,45,39,42.00,91.30434783,-18.75,-10.41666667
250530_29,1725973,F,APOE44HN,1/6/2025,15.23,10/1/2025,12/1/2025,10.83,15.23,0.491666667,177,5.9,LR,HFD&GLP_1,10/1/2025,5/30/2025,,46,46,46,44,44,43,42,42,41,42,42,43,45,46,44,44,140.8,45,45,45,45,42,39,39,44,39,39,44,43,45,44,46,43,42.00,100,-6.52173913,-4.347826087
250530_30,1725973,F,APOE44HN,1/6/2025,15.23,10/1/2025,12/1/2025,10.83,15.23,0.491666667,177,5.9,LL,HFD&GLP_1,10/1/2025,5/30/2025,,48,48,48,45,46,44,43,43,42,41,41,40,42,42,41,40,128,40,41,41,42,42,43,44,45,43,44,35,37,35,34,35,32,31.00,64,-33.33333333,-29.16666667
250530_31,1725973,F,APOE44HN,1/6/2025,15.23,10/1/2025,12/1/2025,10.83,15.23,0.491666667,177,5.9,RR,HFD&GLP_1,10/1/2025,5/30/2025,,47,47,45,43,43,41,39,40,38,39,39,39,40,42,40,39,124.8,30,40,38,40,40,43,43,42,43,43,38,34,38,37,38,35,35.00,73.91304348,-25.53191489,-21.27659574
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
